dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.988977,5.808940,0.000002,0.000200,0.009977,0.498863,0.025738
0.020000,12.988977,5.808940,0.000010,0.000599,0.019955,0.498863,0.025737
0.020000,12.988977,5.808940,0.000028,0.001197,0.029932,0.498863,0.025737
0.020000,12.988977,5.808940,0.000060,0.001995,0.039909,0.498863,0.025735
0.020000,12.988977,5.808940,0.000110,0.002993,0.049886,0.498863,0.025732
0.020000,12.988977,5.808940,0.000182,0.004190,0.059864,0.498863,0.025728
0.020000,12.988977,5.808940,0.000279,0.005587,0.069841,0.498863,0.025723
0.020000,12.988977,5.808940,0.000407,0.007184,0.079818,0.498863,0.025717
0.020000,12.988977,5.808940,0.000569,0.008980,0.089795,0.498863,0.025708
0.020000,12.988977,5.808940,0.000768,0.010975,0.099773,0.498863,0.025697
0.020000,12.988977,5.808940,0.001010,0.013170,0.109750,0.498863,0.025685
0.020000,12.988977,5.808940,0.001297,0.015565,0.119727,0.498863,0.025670
0.020000,12.988977,5.808940,0.001634,0.018159,0.129705,0.498863,0.025652
0.020000,12.989055,5.808942,0.002025,0.020952,0.139682,0.498863,0.025631
0.020000,12.989504,5.808954,0.002474,0.023945,0.149659,0.498863,0.025608
0.020000,12.990014,5.808967,0.002985,0.027138,0.159636,0.498863,0.025581
0.020000,12.990591,5.808982,0.003562,0.030530,0.169614,0.498863,0.025550
0.020000,12.991237,5.808998,0.004208,0.034122,0.179591,0.498863,0.025516
0.020000,12.991957,5.809016,0.004929,0.037914,0.189568,0.498863,0.025479
0.020000,12.992755,5.809037,0.005727,0.041905,0.199545,0.498863,0.025437
0.020000,12.993635,5.809059,0.006607,0.046095,0.209523,0.498863,0.025391
0.020000,12.994601,5.809084,0.007573,0.050485,0.219500,0.498863,0.025340
0.020000,12.995656,5.809110,0.008628,0.055075,0.229477,0.498863,0.025285
0.020000,12.996805,5.809139,0.009778,0.059864,0.239454,0.498863,0.025224
0.020000,12.998052,5.809171,0.011025,0.064852,0.249432,0.498863,0.025159
0.020000,12.999400,5.809205,0.012374,0.070040,0.259409,0.498863,0.025089
0.020000,13.000854,5.809241,0.013828,0.075428,0.269386,0.498863,0.025013
0.020000,13.002418,5.809280,0.015393,0.081015,0.279364,0.498863,0.024931
0.020000,13.004096,5.809322,0.017071,0.086802,0.289341,0.498863,0.024844
0.020000,13.005891,5.809366,0.018867,0.092789,0.299318,0.498863,0.024751
0.020000,13.007808,5.809414,0.020785,0.098975,0.309295,0.498863,0.024651
0.020000,13.009851,5.809464,0.022828,0.105360,0.319273,0.498863,0.024545
0.020000,13.012023,5.809517,0.025001,0.111945,0.329250,0.498863,0.024433
0.020000,13.014329,5.809573,0.027308,0.118730,0.339227,0.498863,0.024314
0.020000,13.016773,5.809633,0.029752,0.125714,0.349204,0.498863,0.024187
0.020000,13.019359,5.809695,0.032338,0.132897,0.359182,0.498863,0.024054
0.020000,13.022090,5.809761,0.035070,0.140280,0.369159,0.498863,0.023914
0.020000,13.024970,5.809829,0.037952,0.147863,0.379136,0.498863,0.023766
0.020000,13.028004,5.809901,0.040987,0.155645,0.389114,0.498863,0.023611
0.020000,13.031196,5.809976,0.044179,0.163627,0.399091,0.498863,0.023448
0.020000,13.034550,5.810055,0.047534,0.171809,0.409068,0.498863,0.023278
0.020000,13.038069,5.810136,0.051054,0.180189,0.419045,0.498863,0.023099
0.020000,13.041757,5.810221,0.054743,0.188770,0.429023,0.498863,0.022913
0.020000,13.045620,5.810309,0.058606,0.197550,0.439000,0.498863,0.022718
0.020000,13.049659,5.810401,0.062647,0.206529,0.448977,0.498863,0.022515
0.020000,13.053881,5.810495,0.066870,0.215709,0.458954,0.498863,0.022303
0.020000,13.058287,5.810593,0.071278,0.225087,0.468932,0.498863,0.022083
0.020000,13.062884,5.810694,0.075875,0.234665,0.478909,0.498863,0.021854
0.020000,13.067674,5.810798,0.080666,0.244443,0.488886,0.498863,0.021617
0.020000,13.072661,5.810905,0.085655,0.254420,0.498863,0.498863,0.021371
0.020000,13.077848,5.811016,0.090843,0.264398,0.498863,-0.000000,0.021116
0.020000,13.083235,5.811129,0.096231,0.274375,0.498863,0.000000,0.020852
0.020000,13.088821,5.811244,0.101818,0.284352,0.498863,-0.000000,0.020580
0.020000,13.094607,5.811363,0.107605,0.294329,0.498863,0.000000,0.020299
0.020000,13.100592,5.811483,0.113591,0.304307,0.498863,-0.000000,0.020010
0.020000,13.106776,5.811606,0.119777,0.314284,0.498863,0.000000,0.019714
0.020000,13.113161,5.811731,0.126163,0.324261,0.498863,0.000000,0.019409
0.020000,13.119744,5.811858,0.132748,0.334239,0.498863,-0.000000,0.019096
0.020000,13.126528,5.811986,0.139532,0.344216,0.498863,0.000000,0.018776
0.020000,13.133511,5.812116,0.146516,0.354193,0.498863,-0.000000,0.018448
0.020000,13.140693,5.812248,0.153700,0.364170,0.498863,0.000000,0.018113
0.020000,13.148075,5.812380,0.161083,0.374148,0.498863,0.000000,0.017770
0.020000,13.155657,5.812514,0.168666,0.384125,0.498863,-0.000000,0.017421
0.020000,13.163438,5.812648,0.176448,0.394102,0.498863,0.000000,0.017065
0.020000,13.171418,5.812782,0.184430,0.404079,0.498863,-0.000000,0.016703
0.020000,13.179599,5.812918,0.192611,0.414057,0.498863,0.000000,0.016334
0.020000,13.187978,5.813053,0.200992,0.424034,0.498863,-0.000000,0.015959
0.020000,13.196558,5.813188,0.209573,0.434011,0.498863,0.000000,0.015577
0.020000,13.205337,5.813323,0.218353,0.443988,0.498863,-0.000000,0.015191
0.020000,13.214315,5.813458,0.227332,0.453966,0.498863,0.000000,0.014798
0.020000,13.223493,5.813592,0.236511,0.463943,0.498863,-0.000000,0.014400
0.020000,13.232871,5.813725,0.245890,0.473920,0.498863,-0.000000,0.013997
0.020000,13.242448,5.813857,0.255468,0.483898,0.498863,0.000000,0.013590
0.020000,13.252225,5.813988,0.265246,0.493875,0.498863,-0.000000,0.013177
0.020000,13.262202,5.814117,0.275223,0.503852,0.498863,-0.000000,0.012760
0.020000,13.272378,5.814245,0.285400,0.513829,0.498863,0.000000,0.012339
0.020000,13.282753,5.814371,0.295776,0.523807,0.498863,-0.000000,0.011914
0.020000,13.293326,5.814495,0.306350,0.533584,0.488886,-0.498863,0.011485
0.020000,13.304093,5.814616,0.317118,0.543163,0.478909,-0.498863,0.011053
0.020000,13.315050,5.814735,0.328075,0.552541,0.468932,-0.498863,0.010619
0.020000,13.326192,5.814851,0.339217,0.561720,0.458954,-0.498863,0.010182
0.020000,13.337515,5.814963,0.350541,0.570700,0.448977,-0.498863,0.009743
0.020000,13.349017,5.815073,0.362043,0.579480,0.439000,-0.498863,0.009302
0.020000,13.360691,5.815179,0.373719,0.588060,0.429023,-0.498863,0.008861
