dt,x,y,position,velocity,acceleration,jerk,heading
0.002000,43.008149,18.958825,0.000000,0.000238,0.118752,59.375964,6.261393
0.002000,43.008149,18.958825,0.000001,0.000713,0.237504,59.375964,6.261393
0.002000,43.008149,18.958825,0.000003,0.001425,0.356256,59.375964,6.261393
0.002000,43.008149,18.958825,0.000007,0.002375,0.475008,59.375964,6.261393
0.002000,43.008149,18.958825,0.000013,0.003563,0.593760,59.375964,6.261393
0.002000,43.008149,18.958825,0.000022,0.004988,0.712512,59.375964,6.261394
0.002000,43.008149,18.958825,0.000033,0.006650,0.831263,59.375964,6.261394
0.002000,43.008149,18.958825,0.000048,0.008550,0.950015,59.375964,6.261394
0.002000,43.008149,18.958825,0.000068,0.010688,1.068767,59.375964,6.261394
0.002000,43.008149,18.958825,0.000091,0.013063,1.187519,59.375964,6.261394
0.002000,43.008149,18.958825,0.000120,0.015675,1.306271,59.375964,6.261394
0.002000,43.008149,18.958825,0.000154,0.018525,1.425023,59.375964,6.261394
0.002000,43.008149,18.958825,0.000195,0.021613,1.543775,59.375964,6.261395
0.002000,43.008149,18.958825,0.000241,0.024938,1.662527,59.375964,6.261395
0.002000,43.008149,18.958825,0.000295,0.028500,1.781279,59.375964,6.261395
0.002000,43.008149,18.958825,0.000355,0.032301,1.900031,59.375964,6.261396
0.002000,43.008149,18.958825,0.000424,0.036338,2.018783,59.375964,6.261396
0.002000,43.008149,18.958825,0.000501,0.040613,2.137535,59.375964,6.261397
0.002000,43.008149,18.958825,0.000587,0.045126,2.256287,59.375964,6.261397
0.002000,43.008149,18.958825,0.000682,0.049876,2.375039,59.375964,6.261398
0.002000,43.008149,18.958825,0.000786,0.054863,2.493790,59.375964,6.261399
0.002000,43.008149,18.958825,0.000901,0.060088,2.612542,59.375964,6.261399
0.002000,43.008149,18.958825,0.001027,0.065551,2.731294,59.375964,6.261400
0.002000,43.008149,18.958825,0.001164,0.071251,2.850046,59.375964,6.261401
0.002000,43.008149,18.958825,0.001312,0.077189,2.968798,59.375964,6.261402
0.002000,43.008149,18.958825,0.001473,0.083364,3.087550,59.375964,6.261403
0.002000,43.008149,18.958825,0.001646,0.089776,3.206302,59.375964,6.261404
0.002000,43.008149,18.958825,0.001832,0.096427,3.325054,59.375964,6.261405
0.002000,43.008149,18.958825,0.002032,0.103314,3.443806,59.375964,6.261407
0.002000,43.008149,18.958825,0.002246,0.110439,3.562558,59.375964,6.261408
0.002000,43.008149,18.958825,0.002474,0.117802,3.681310,59.375964,6.261410
0.002000,43.008149,18.958825,0.002717,0.125402,3.800062,59.375964,6.261411
0.002000,43.008149,18.958825,0.002976,0.133240,3.918814,59.375964,6.261413
0.002000,43.008149,18.958825,0.003250,0.141315,4.037566,59.375964,6.261415
0.002000,43.008149,18.958825,0.003541,0.149627,4.156317,59.375964,6.261417
0.002000,43.008149,18.958825,0.003849,0.158178,4.275069,59.375964,6.261419
0.002000,43.008149,18.958825,0.004174,0.166965,4.393821,59.375964,6.261421
0.002000,43.008149,18.958825,0.004517,0.175990,4.512573,59.375964,6.261423
0.002000,43.008149,18.958825,0.004878,0.185253,4.631325,59.375964,6.261425
0.002000,43.008149,18.958825,0.005258,0.194753,4.750077,59.375964,6.261428
0.002000,43.008149,18.958825,0.005658,0.204491,4.868829,59.375964,6.261431
0.002000,43.008149,18.958825,0.006077,0.214466,4.987581,59.375964,6.261433
0.002000,43.008149,18.958825,0.006516,0.224679,5.106333,59.375964,6.261436
0.002000,43.008149,18.958825,0.006975,0.235129,5.225085,59.375964,6.261439
0.002000,43.008149,18.958825,0.007456,0.245816,5.343837,59.375964,6.261442
0.002000,43.008149,18.958825,0.007959,0.256742,5.462589,59.375964,6.261446
0.002000,43.008149,18.958825,0.008484,0.267904,5.581341,59.375964,6.261449
0.002000,43.008624,18.958815,0.009031,0.279305,5.700093,59.375964,6.261453
0.002000,43.009194,18.958803,0.009601,0.290942,5.818844,59.375964,6.261456
0.002000,43.009788,18.958790,0.010195,0.302817,5.937596,59.375964,6.261460
0.002000,43.010405,18.958776,0.010813,0.314930,6.056348,59.375964,6.261464
0.002000,43.011047,18.958762,0.011455,0.327280,6.175100,59.375964,6.261469
0.002000,43.011714,18.958748,0.012122,0.339868,6.293852,59.375964,6.261473
0.002000,43.012407,18.958733,0.012815,0.352693,6.412604,59.375964,6.261478
0.002000,43.013125,18.958717,0.013533,0.365756,6.531356,59.375964,6.261482
0.002000,43.013870,18.958701,0.014278,0.379056,6.650108,59.375964,6.261487
0.002000,43.014641,18.958684,0.015049,0.392594,6.768860,59.375964,6.261492
0.002000,43.015440,18.958667,0.015848,0.406369,6.887612,59.375964,6.261497
0.002000,43.016267,18.958649,0.016675,0.420382,7.006364,59.375964,6.261503
0.002000,43.017121,18.958630,0.017530,0.434632,7.125116,59.375964,6.261508
0.002000,43.018005,18.958611,0.018414,0.449120,7.243868,59.375964,6.261514
0.002000,43.018918,18.958592,0.019327,0.463845,7.362619,59.375964,6.261520
0.002000,43.019860,18.958571,0.020270,0.478808,7.481371,59.375964,6.261526
0.002000,43.020833,18.958550,0.021242,0.494008,7.600123,59.375964,6.261533
0.002000,43.021836,18.958528,0.022246,0.509208,7.600123,0.000000,6.261539
0.002000,43.022869,18.958506,0.023279,0.524409,7.600123,-0.000000,6.261546
0.002000,43.023933,18.958483,0.024343,0.539609,7.600123,-0.000000,6.261553
0.002000,43.025027,18.958459,0.025438,0.554809,7.600123,0.000000,6.261560
0.002000,43.026152,18.958435,0.026562,0.570009,7.600123,-0.000000,6.261568
0.002000,43.027307,18.958410,0.027718,0.585209,7.600123,0.000000,6.261575
0.002000,43.028492,18.958384,0.028903,0.600410,7.600123,0.000000,6.261583
0.002000,43.029708,18.958358,0.030119,0.615610,7.600123,0.000000,6.261591
0.002000,43.030954,18.958331,0.031366,0.630810,7.600123,-0.000000,6.261599
0.002000,43.032230,18.958304,0.032643,0.646010,7.600123,0.000000,6.261607
0.002000,43.033537,18.958275,0.033950,0.661211,7.600123,-0.000000,6.261616
0.002000,43.034874,18.958247,0.035287,0.676411,7.600123,0.000000,6.261625
0.002000,43.036242,18.958217,0.036655,0.691611,7.600123,-0.000000,6.261634
0.002000,43.037640,18.958187,0.038054,0.706811,7.600123,0.000000,6.261643
0.002000,43.039069,18.958156,0.039483,0.722012,7.600123,0.000000,6.261652
0.002000,43.040528,18.958125,0.040942,0.737212,7.600123,0.000000,6.261662
0.002000,43.042017,18.958093,0.042431,0.752412,7.600123,-0.000000,6.261671
0.002000,43.043537,18.958060,0.043952,0.767612,7.600123,0.000000,6.261681
0.002000,43.045087,18.958027,0.045502,0.782813,7.600123,-0.000000,6.261692
0.002000,43.046667,18.957993,0.047083,0.798013,7.600123,0.000000,6.261702
0.002000,43.048278,18.957958,0.048694,0.813213,7.600123,-0.000000,6.261712
0.002000,43.049919,18.957923,0.050336,0.828413,7.600123,0.000000,6.261723
0.002000,43.051591,18.957887,0.052008,0.843614,7.600123,0.000000,6.261734
0.002000,43.053293,18.957851,0.053710,0.858814,7.600123,0.000000,6.261745
0.002000,43.055025,18.957813,0.055443,0.874014,7.600123,-0.000000,6.261756
0.002000,43.056788,18.957776,0.057206,0.889214,7.600123,0.000000,6.261768
0.002000,43.058581,18.957737,0.059000,0.904415,7.600123,-0.000000,6.261780
0.002000,43.060405,18.957698,0.060824,0.919615,7.600123,0.000000,6.261791
0.002000,43.062259,18.957659,0.062678,0.934815,7.600123,-0.000000,6.261804
0.002000,43.064143,18.957618,0.064563,0.950015,7.600123,0.000000,6.261816
0.002000,43.066058,18.957577,0.066478,0.965216,7.600123,0.000000,6.261828
0.002000,43.068003,18.957536,0.068424,0.980416,7.600123,0.000000,6.261841
0.002000,43.069979,18.957494,0.070400,0.995616,7.600123,0.000000,6.261854
0.002000,43.071985,18.957451,0.072406,1.010816,7.600123,-0.000000,6.261867
0.002000,43.074021,18.957407,0.074443,1.026017,7.600123,0.000000,6.261880
0.002000,43.076088,18.957363,0.076510,1.041217,7.600123,0.000000,6.261894
0.002000,43.078185,18.957319,0.078608,1.056417,7.600123,-0.000000,6.261907
0.002000,43.080313,18.957274,0.080736,1.071617,7.600123,0.000000,6.261921
0.002000,43.082471,18.957228,0.082895,1.086818,7.600123,0.000000,6.261935
0.002000,43.084659,18.957181,0.085083,1.102018,7.600123,-0.000000,6.261949
0.002000,43.086878,18.957134,0.087303,1.117218,7.600123,0.000000,6.261964
0.002000,43.089127,18.957086,0.089552,1.132418,7.600123,-0.000000,6.261978
0.002000,43.091406,18.957038,0.091832,1.147619,7.600123,0.000000,6.261993
0.002000,43.093716,18.956989,0.094143,1.162819,7.600123,0.000000,6.262008
0.002000,43.096057,18.956939,0.096484,1.178019,7.600123,-0.000000,6.262023
0.002000,43.098427,18.956889,0.098855,1.193219,7.600123,0.000000,6.262039
0.002000,43.100829,18.956839,0.101256,1.208420,7.600123,0.000000,6.262054
0.002000,43.103260,18.956787,0.103688,1.223620,7.600123,-0.000000,6.262070
0.002000,43.105722,18.956735,0.106151,1.238820,7.600123,0.000000,6.262086
0.002000,43.108214,18.956683,0.108644,1.254020,7.600123,-0.000000,6.262102
0.002000,43.110737,18.956629,0.111167,1.269221,7.600123,0.000000,6.262118
0.002000,43.113290,18.956576,0.113721,1.284421,7.600123,0.000000,6.262135
0.002000,43.115873,18.956521,0.116305,1.299621,7.600123,-0.000000,6.262152
0.002000,43.118487,18.956466,0.118919,1.314821,7.600123,0.000000,6.262168
0.002000,43.121132,18.956411,0.121564,1.330022,7.600123,0.000000,6.262185
