dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,43.008149,18.958825,0.000125,0.005000,0.100000,2.000000,6.261394
0.050000,43.008149,18.958825,0.000625,0.015000,0.200000,2.000000,6.261398
0.050000,43.008149,18.958825,0.001750,0.030000,0.300000,2.000000,6.261405
0.050000,43.008149,18.958825,0.003750,0.050000,0.400000,2.000000,6.261418
0.050000,43.008149,18.958825,0.006875,0.075000,0.500000,2.000000,6.261439
0.050000,43.010968,18.958764,0.011375,0.105000,0.600000,2.000000,6.261468
0.050000,43.017091,18.958631,0.017500,0.140000,0.700000,2.000000,6.261508
0.050000,43.025089,18.958458,0.025500,0.180000,0.800000,2.000000,6.261561
0.050000,43.035212,18.958239,0.035625,0.225000,0.900000,2.000000,6.261627
0.050000,43.047709,18.957970,0.048125,0.275000,1.000000,2.000000,6.261709
0.050000,43.062831,18.957646,0.063250,0.330000,1.100000,2.000000,6.261807
0.050000,43.080827,18.957263,0.081250,0.390000,1.200000,2.000000,6.261924
0.050000,43.101947,18.956815,0.102375,0.455000,1.300000,2.000000,6.262061
0.050000,43.126441,18.956299,0.126875,0.525000,1.400000,2.000000,6.262220
0.050000,43.154560,18.955712,0.155000,0.600000,1.500000,2.000000,6.262401
0.050000,43.186553,18.955051,0.187000,0.680000,1.600000,2.000000,6.262606
0.050000,43.222671,18.954311,0.223125,0.765000,1.700000,2.000000,6.262837
0.050000,43.263163,18.953492,0.263625,0.855000,1.800000,2.000000,6.263094
0.050000,43.308279,18.952592,0.308750,0.950000,1.900000,2.000000,6.263378
0.050000,43.358269,18.951610,0.358750,1.050000,2.000000,2.000000,6.263691
0.050000,43.413134,18.950550,0.413625,1.145000,1.900000,-2.000000,6.264032
0.050000,43.472623,18.949421,0.473125,1.235000,1.800000,-2.000000,6.264398
0.050000,43.536487,18.948233,0.537000,1.320000,1.700000,-2.000000,6.264788
0.050000,43.604476,18.946996,0.605000,1.400000,1.600000,-2.000000,6.265198
0.050000,43.676339,18.945719,0.676875,1.475000,1.500000,-2.000000,6.265627
0.050000,43.751828,18.944410,0.752375,1.545000,1.400000,-2.000000,6.266073
0.050000,43.830692,18.943079,0.831250,1.610000,1.300000,-2.000000,6.266533
0.050000,43.912681,18.941733,0.913250,1.670000,1.200000,-2.000000,6.267004
0.050000,43.997545,18.940380,0.998125,1.725000,1.100000,-2.000000,6.267486
0.050000,44.085034,18.939028,1.085625,1.775000,1.000000,-2.000000,6.267976
0.050000,44.174899,18.937683,1.175500,1.820000,0.900000,-2.000000,6.268471
0.050000,44.266890,18.936353,1.267500,1.860000,0.800000,-2.000000,6.268970
0.050000,44.360756,18.935042,1.361375,1.895000,0.700000,-2.000000,6.269471
0.050000,44.456247,18.933756,1.456875,1.925000,0.600000,-2.000000,6.269972
0.050000,44.553114,18.932500,1.553750,1.950000,0.500000,-2.000000,6.270472
0.050000,44.651106,18.931279,1.651750,1.970000,0.400000,-2.000000,6.270969
0.050000,44.749974,18.930095,1.750625,1.985000,0.300000,-2.000000,6.271460
0.050000,44.849468,18.928953,1.850125,1.995000,0.200000,-2.000000,6.271946
0.050000,44.949337,18.927854,1.950000,2.000000,0.100000,-2.000000,6.272424
0.050000,45.049331,18.926802,2.050000,2.000000,0.000000,-2.000000,6.272893
0.050000,45.149326,18.925796,2.150000,2.000000,0.000000,0.000000,6.273353
0.050000,45.249321,18.924835,2.250000,2.000000,0.000000,0.000000,6.273804
0.050000,45.349317,18.923919,2.350000,2.000000,0.000000,0.000000,6.274245
0.050000,45.449313,18.923047,2.450000,2.000000,0.000000,0.000000,6.274676
0.050000,45.549310,18.922217,2.550000,2.000000,0.000000,0.000000,6.275099
0.050000,45.649307,18.921429,2.650000,2.000000,0.000000,0.000000,6.275511
0.050000,45.749304,18.920682,2.750000,2.000000,0.000000,0.000000,6.275915
0.050000,45.849301,18.919975,2.850000,2.000000,0.000000,0.000000,6.276309
0.050000,45.949299,18.919306,2.950000,2.000000,0.000000,0.000000,6.276693
0.050000,46.049297,18.918676,3.050000,2.000000,0.000000,0.000000,6.277068
0.050000,46.149296,18.918083,3.150000,2.000000,0.000000,0.000000,6.277434
0.050000,46.249294,18.917525,3.250000,2.000000,0.000000,0.000000,6.277790
0.050000,46.349293,18.917003,3.350000,2.000000,0.000000,0.000000,6.278137
0.050000,46.449291,18.916516,3.450000,2.000000,0.000000,0.000000,6.278475
0.050000,46.549290,18.916061,3.550000,2.000000,0.000000,0.000000,6.278803
0.050000,46.649289,18.915639,3.650000,2.000000,0.000000,0.000000,6.279122
0.050000,46.749289,18.915248,3.750000,2.000000,0.000000,0.000000,6.279431
0.050000,46.849288,18.914888,3.850000,2.000000,0.000000,0.000000,6.279731
0.050000,46.949288,18.914557,3.950000,2.000000,0.000000,0.000000,6.280021
0.050000,47.049287,18.914254,4.050000,2.000000,0.000000,0.000000,6.280302
0.050000,47.149287,18.913980,4.150000,2.000000,0.000000,0.000000,6.280574
0.050000,47.249286,18.913732,4.250000,2.000000,0.000000,0.000000,6.280836
0.050000,47.349286,18.913510,4.350000,2.000000,0.000000,0.000000,6.281089
0.050000,47.449286,18.913312,4.450000,2.000000,0.000000,0.000000,6.281332
0.050000,47.549286,18.913139,4.550000,2.000000,0.000000,0.000000,6.281566
0.050000,47.649286,18.912988,4.650000,2.000000,0.000000,0.000000,6.281791
0.050000,47.749286,18.912859,4.750000,2.000000,0.000000,0.000000,6.282006
0.050000,47.849286,18.912752,4.850000,2.000000,0.000000,0.000000,6.282211
0.050000,47.949285,18.912664,4.950000,2.000000,0.000000,0.000000,6.282408
0.050000,48.049285,18.912596,5.050000,2.000000,0.000000,0.000000,6.282595
0.050000,48.149285,18.912546,5.150000,2.000000,0.000000,0.000000,6.282772
0.050000,48.249285,18.912513,5.250000,2.000000,0.000000,0.000000,6.282940
0.050000,48.349285,18.912496,5.350000,2.000000,0.000000,0.000000,6.283099
0.050000,48.449285,18.912495,5.450000,2.000000,0.000000,0.000000,0.000063
0.050000,48.549285,18.912509,5.550000,2.000000,0.000000,0.000000,0.000202
0.050000,48.649285,18.912535,5.650000,2.000000,0.000000,0.000000,0.000333
0.050000,48.749285,18.912575,5.750000,2.000000,0.000000,0.000000,0.000454
0.050000,48.849285,18.912626,5.850000,2.000000,0.000000,0.000000,0.000565
0.050000,48.949285,18.912688,5.950000,2.000000,0.000000,0.000000,0.000667
0.050000,49.049285,18.912759,6.050000,2.000000,0.000000,0.000000,0.000760
0.050000,49.149285,18.912839,6.150000,2.000000,0.000000,0.000000,0.000843
0.050000,49.249285,18.912927,6.250000,2.000000,0.000000,0.000000,0.000917
0.050000,49.349285,18.913023,6.350000,2.000000,0.000000,0.000000,0.000982
0.050000,49.449285,18.913124,6.450000,2.000000,0.000000,0.000000,0.001037
0.050000,49.549285,18.913230,6.550000,2.000000,0.000000,0.000000,0.001083
0.050000,49.649239,18.913340,6.649954,1.998141,-0.037179,-0.743575,0.001119
0.050000,49.748974,18.913453,6.749689,1.991282,-0.137179,-2.000000,0.001146
0.050000,49.848242,18.913567,6.848957,1.979423,-0.237179,-2.000000,0.001163
0.050000,49.946791,18.913682,6.947506,1.962564,-0.337179,-2.000000,0.001171
0.050000,50.044373,18.913797,7.045088,1.940705,-0.437179,-2.000000,0.001170
0.050000,50.140737,18.913909,7.141452,1.913846,-0.537179,-2.000000,0.001160
0.050000,50.235632,18.914018,7.236348,1.881987,-0.637179,-2.000000,0.001142
0.050000,50.328810,18.914124,7.329526,1.845129,-0.737179,-2.000000,0.001116
0.050000,50.420020,18.914224,7.420736,1.803270,-0.837179,-2.000000,0.001082
0.050000,50.509012,18.914318,7.509728,1.756411,-0.937179,-2.000000,0.001042
0.050000,50.595536,18.914407,7.596252,1.704552,-1.037179,-2.000000,0.000996
0.050000,50.679342,18.914488,7.680058,1.647693,-1.137179,-2.000000,0.000944
0.050000,50.760180,18.914562,7.760896,1.585834,-1.237179,-2.000000,0.000888
0.050000,50.837801,18.914629,7.838516,1.518975,-1.337179,-2.000000,0.000829
0.050000,50.911953,18.914688,7.912668,1.447116,-1.437179,-2.000000,0.000767
0.050000,50.982387,18.914740,7.983103,1.370257,-1.537179,-2.000000,0.000703
0.050000,51.048854,18.914784,8.049569,1.288398,-1.637179,-2.000000,0.000638
0.050000,51.111102,18.914822,8.111818,1.201539,-1.737179,-2.000000,0.000574
0.050000,51.168882,18.914854,8.169598,1.109680,-1.837179,-2.000000,0.000511
0.050000,51.221945,18.914879,8.222661,1.012821,-1.937179,-2.000000,0.000451
0.050000,51.270132,18.914899,8.270848,0.914680,-1.962821,-0.512850,0.000394
0.050000,51.313538,18.914915,8.314254,0.821539,-1.862821,2.000000,0.000340
0.050000,51.352411,18.914928,8.353127,0.733398,-1.762821,2.000000,0.000291
0.050000,51.387003,18.914937,8.387718,0.650257,-1.662821,2.000000,0.000246
0.050000,51.417562,18.914944,8.418278,0.572116,-1.562821,2.000000,0.000205
0.050000,51.444339,18.914949,8.445055,0.498975,-1.462821,2.000000,0.000168
0.050000,51.467585,18.914952,8.468300,0.430834,-1.362821,2.000000,0.000136
0.050000,51.487548,18.914955,8.488263,0.367693,-1.262821,2.000000,0.000108
0.050000,51.504479,18.914956,8.505195,0.309552,-1.162821,2.000000,0.000084
0.050000,51.518628,18.914957,8.519344,0.256411,-1.062821,2.000000,0.000064
0.050000,51.530245,18.914958,8.530961,0.208270,-0.962821,2.000000,0.000047
0.050000,51.539580,18.914958,8.540296,0.165129,-0.862821,2.000000,0.000033
0.050000,51.546883,18.914959,8.547598,0.126987,-0.762821,2.000000,0.000023
0.050000,51.552404,18.914959,8.553119,0.093846,-0.662821,2.000000,0.000014
0.050000,51.556392,18.914959,8.557108,0.065705,-0.562821,2.000000,0.000008
0.050000,51.559099,18.914959,8.559815,0.042564,-0.462821,2.000000,0.000004
0.050000,51.560774,18.914959,8.561490,0.024423,-0.362821,2.000000,0.000002
0.050000,51.561666,18.914959,8.562382,0.011282,-0.262821,2.000000,0.000001
0.050000,51.562027,18.914959,8.562743,0.003141,-0.162821,2.000000,0.000000
0.050000,51.562106,18.914959,8.562821,0.000000,-0.062821,2.000000,0.000000
0.050000,51.562106,18.914959,8.562821,0.000000,0.000000,1.256425,0.000000
